Step,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MIN,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MAX,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MIN,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MAX,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MIN,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MAX
120,0.703125,0.703125,0.703125,0.828125,0.828125,0.828125,0.65625,0.65625,0.65625
121,0.578125,0.578125,0.578125,0.671875,0.671875,0.671875,0.5625,0.5625,0.5625
122,0.671875,0.671875,0.671875,0.859375,0.859375,0.859375,0.53125,0.53125,0.53125
123,0.734375,0.734375,0.734375,0.8125,0.8125,0.8125,0.6875,0.6875,0.6875
124,0.609375,0.609375,0.609375,0.75,0.75,0.75,0.625,0.625,0.625
125,0.734375,0.734375,0.734375,0.8125,0.8125,0.8125,0.5625,0.5625,0.5625
126,0.78125,0.78125,0.78125,0.796875,0.796875,0.796875,0.75,0.75,0.75
127,0.6875,0.6875,0.6875,0.796875,0.796875,0.796875,0.53125,0.53125,0.53125
128,0.796875,0.796875,0.796875,0.765625,0.765625,0.765625,0.59375,0.59375,0.59375
129,0.65625,0.65625,0.65625,0.875,0.875,0.875,0.8125,0.8125,0.8125
130,0.78125,0.78125,0.78125,0.796875,0.796875,0.796875,0.8125,0.8125,0.8125
131,0.703125,0.703125,0.703125,0.796875,0.796875,0.796875,0.53125,0.53125,0.53125
132,0.75,0.75,0.75,0.875,0.875,0.875,0.59375,0.59375,0.59375
133,0.75,0.75,0.75,0.828125,0.828125,0.828125,0.59375,0.59375,0.59375
134,0.71875,0.71875,0.71875,0.765625,0.765625,0.765625,0.75,0.75,0.75
135,0.609375,0.609375,0.609375,0.671875,0.671875,0.671875,0.65625,0.65625,0.65625
136,0.609375,0.609375,0.609375,0.75,0.75,0.75,0.625,0.625,0.625
137,0.765625,0.765625,0.765625,0.828125,0.828125,0.828125,0.53125,0.53125,0.53125
138,0.71875,0.71875,0.71875,0.734375,0.734375,0.734375,0.5,0.5,0.5
139,0.703125,0.703125,0.703125,0.71875,0.71875,0.71875,0.625,0.625,0.625
140,0.640625,0.640625,0.640625,0.875,0.875,0.875,0.53125,0.53125,0.53125
141,0.734375,0.734375,0.734375,0.8125,0.8125,0.8125,0.625,0.625,0.625
142,0.703125,0.703125,0.703125,0.734375,0.734375,0.734375,0.65625,0.65625,0.65625
143,0.78125,0.78125,0.78125,0.765625,0.765625,0.765625,0.5,0.5,0.5
144,0.734375,0.734375,0.734375,0.859375,0.859375,0.859375,0.6875,0.6875,0.6875
145,0.65625,0.65625,0.65625,0.796875,0.796875,0.796875,0.6875,0.6875,0.6875
146,0.75,0.75,0.75,0.78125,0.78125,0.78125,0.75,0.75,0.75
147,0.84375,0.84375,0.84375,0.828125,0.828125,0.828125,0.6875,0.6875,0.6875
148,0.703125,0.703125,0.703125,0.765625,0.765625,0.765625,0.625,0.625,0.625
149,0.75341,0.75341,0.75341,0.78125,0.78125,0.78125,0.65625,0.65625,0.65625
150,0.72872,0.72872,0.72872,0.90625,0.90625,0.90625,0.65625,0.65625,0.65625
